ID_OFERTA;DATA_COLETA;ITEM_ORIGINAL;ITEM_NORMALIZADO;GRUPO_COMPARAVEL;LOJA;TIPO_CANAL;MARCA;DESCRICAO_COMERCIAL;MODELO_REFERENCIA;MATERIAL;ACABAMENTO_COR;MEDIDA_PRINCIPAL;UNIDADE_MEDIDA;TIPO_PRODUTO;PRECO_LISTA;PRECO_PIX;PRECO_UTILIZADO;PRECISAO_FONTE;CLASSIFICACAO_COMPARABILIDADE;NIVEL_PRODUTO;OBSERVACAO_ANALITICA;URL_FONTE;IMAGEM_LOCAL;IMAGEM_LEGENDA
75;2026-05-20;SIFÃO;Sifão;Sifão flexível cromado Blukit;Carajás;Varejo Online;Blukit;Sifão flexível porca cromado;;Plástico/metal;Cromado;n/i;;Premium;217.9;189.9;189.9;Produto;D;Premium alto;"Produto com acabamento e construção diferenciados; não comparar com linha básica.";https://www.carajas.com.br/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
76;2026-05-20;TUBO EXT SIMPLES UNI;Tubo extensivo simples universal;Tubo extensivo 70 cm Blukit;Carajás;Varejo Online;Blukit;Tubo extensivo branco 70 cm;;Plástico;Branco;70 cm;cm;Extensivo;44.91;;44.91;Produto;C;Intermediário;"Preço observado em canal varejo; comparar por comprimento.";https://www.carajas.com.br/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de tubo extensivo Blukit.
77;2026-05-20;SIFÃO;Sifão;Sifão máquina lavar Blukit;Ferreira Costa;Varejo Online;Blukit;Sifão para máquina 3/4;;Plástico;Branco;"3/4""";;Especial;27.9;;27.9;Produto;D;Funcional especializado;"Aplicação específica para máquina; manter separado.";https://www.ferreiracosta.com/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
78;2026-05-20;MECANISMO CAIXA ACOP;Mecanismo caixa acoplada;Mecanismo de saída;Carajás;Varejo Online;Blukit;Mecanismo de saída para caixa acoplada;;Plástico técnico;Branco;n/i;;Saída;60.9;54.81;54.81;Produto;B;Intermediário;"Peça de saída; não comparar com kit completo.";https://www.carajas.com.br/;;
79;2026-05-20;MECANISMO CAIXA ACOP;Mecanismo caixa acoplada;Mecanismo de entrada;Carajás;Varejo Online;Blukit;Mecanismo de entrada para caixa acoplada;;Plástico técnico;Branco;n/i;;Entrada;53.91;;53.91;Produto;B;Intermediário;"Peça de entrada; base útil para benchmarking da marca.";https://www.carajas.com.br/;;
80;2026-05-20;MECANISMO CAIXA ACOP;Mecanismo caixa acoplada;Kit completo universal;Carajás;Varejo Online;Blukit;Kit mecanismo universal completo com acionador superior;;Plástico técnico;Branco;n/i;;Kit completo;159.9;136.71;136.71;Produto;C;Premium;"Kit completo; comparar apenas com kits equivalentes.";https://www.carajas.com.br/;;
81;2026-05-20;MECANISMO CAIXA ACOP;Mecanismo caixa acoplada;Kit completo universal;Ferreira Costa;Varejo Online;Astra;Mecanismo completo universal;;Plástico técnico;Branco;n/i;;Kit completo;139.0;;139.0;Produto;C;Intermediário;Alternativa de marca ao kit Blukit.;https://www.ferreiracosta.com/;;
82;2026-05-20;MECANISMO CAIXA ACOP;Mecanismo caixa acoplada;Mecanismo duplo acionamento;Ferreira Costa;Varejo Online;Roca;Mecanismo dual flush;;Plástico técnico;Branco;n/i;;Duplo acionamento;182.9;;182.9;Produto;D;Premium;"Especificação superior; manter fora da média básica.";https://www.ferreiracosta.com/;;
83;2026-05-20;MECANISMO CAIXA ACOP;Mecanismo caixa acoplada;Saída duplo acionamento;Carajás;Varejo Online;Astra;Mecanismo de saída duplo;;Plástico técnico;Branco;n/i;;Saída dupla;125.9;119.9;119.9;Produto;C;Premium;"Saída com maior complexidade; não comparar com entrada simples.";https://www.carajas.com.br/;;
84;2026-05-20;VALV ALTER PRESS CX;Válvula alternadora de pressão;Válvula alternadora Blukit;Carajás;Varejo Online;Blukit;Válvula alternadora transferidora para caixa d'água;330601;Plástico técnico;Branco;n/i;;Válvula;217.9;170.91;170.91;Produto;A;Premium;"Referência Blukit em varejo; forte para benchmark.";https://www.carajas.com.br/;assets/product-images/blukit_valvula_alternadora.png;Imagem pública de referência da Válvula Alternadora de Pressão Blukit.
85;2026-05-20;VALV ALTER PRESS CX;Válvula alternadora de pressão;Válvula alternadora Blukit;Obramax;Varejo Online;Blukit;Válvula alternadora para caixa d'água;;Plástico técnico;Branco;n/i;;Válvula;109.9;;109.9;Produto;A;Intermediário;Preço competitivo observado em varejista de atacarejo.;https://www.obramax.com.br/;assets/product-images/blukit_valvula_alternadora.png;Imagem pública de referência da Válvula Alternadora de Pressão Blukit.
86;2026-05-20;VALV ALTER PRESS CX;Válvula alternadora de pressão;Válvula alternadora Blukit;Telhanorte;Varejo Online;Blukit;Válvula alternadora Blukit;330601;Plástico técnico;Branco;n/i;;Válvula;134.9;;134.9;Produto;A;Intermediário;Referência adicional de canal nacional.;https://www.telhanorte.com.br/;assets/product-images/blukit_valvula_alternadora.png;Imagem pública de referência da Válvula Alternadora de Pressão Blukit.
87;2026-05-20;VALV ALTER PRESS CX;Válvula alternadora de pressão;Válvula alternadora Blukit;Ferreira Costa;Varejo Online;Blukit;Válvula alternadora para caixa d'água;;Plástico técnico;Branco;n/i;;Válvula;180.9;129.9;129.9;Produto;A;Intermediário;"Promoção Pix observada; útil para cenário de elasticidade.";https://www.ferreiracosta.com/;assets/product-images/blukit_valvula_alternadora.png;Imagem pública de referência da Válvula Alternadora de Pressão Blukit.
88;2026-05-20;VALV ALTER PRESS CX;Válvula alternadora de pressão;Válvula alternadora Blukit;Ferreira Costa Empresas;B2B/Varejo;Blukit;Válvula transferidora de pressão;;Plástico técnico;Branco;n/i;;Válvula;119.9;;119.9;Produto;A;Intermediário;"Canal empresarial; registrar como referência comercial distinta.";https://www.ferreiracosta.com/;assets/product-images/blukit_valvula_alternadora.png;Imagem pública de referência da Válvula Alternadora de Pressão Blukit.
89;2026-05-20;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira máquina 1/2;Ferreira Costa;Varejo Online;Mac Loren;Torneira para máquina 1/2;;Metal;Cromado;"1/2""";;Torneira;51.9;;51.9;Produto;B;Intermediário;Referência de marca alternativa.;https://www.ferreiracosta.com/;;
90;2026-05-20;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira tanque/máquina;Carajás;Varejo Online;Forusi;Torneira Jr C36 tanque/máquina;;Metal;Cromado;n/i;;Torneira;109.9;93.96;93.96;Produto;C;Premium;"Pode incluir dupla aplicação; comparar com cuidado.";https://www.carajas.com.br/;;
91;2026-05-20;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira tanque/máquina;Carajás;Varejo Online;Sigma;Torneira Tivoli Jr;;Metal;Cromado;n/i;;Torneira;109.9;93.96;93.96;Produto;C;Premium;"Linha decorativa; não equivale ao modelo plástico básico.";https://www.carajas.com.br/;;
92;2026-05-20;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira com derivação;Carajás;Varejo Online;Viqua;Torneira tanque com derivação;;Plástico;Branco;n/i;;Com derivação;32.31;;32.31;Produto;C;Funcional básico;Configuração distinta com derivação.;https://www.carajas.com.br/;;
93;2026-05-20;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira simples branca;Carajás;Varejo Online;HydraMax;Torneira branca para máquina;;Plástico;Branco;n/i;;Simples;9.81;9.32;9.32;Produto;C;Entrada;"Preço de entrada; material simples.";https://www.carajas.com.br/;;
94;2026-05-20;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira tanque/máquina cromada;Carajás;Varejo Online;Forusi;Torneira parede tanque e máquina;;Metal;Cromado;n/i;;Torneira;89.9;76.86;76.86;Produto;C;Premium;"Uso duplo; manter separado dos modelos exclusivos para máquina.";https://www.carajas.com.br/;;
95;2026-05-20;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira Soft Click;Carajás;Varejo Online;Forusi;Torneira Soft Click;;Metal/Plástico;Cromado;n/i;;Torneira;35.9;30.69;30.69;Produto;C;Intermediário;Tecnologia/acionamento distinto.;https://www.carajas.com.br/;;
96;2026-05-20;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira Blukit branca;Ferreira Costa;Varejo Online;Blukit;Torneira branca para máquina 191527;191527;Plástico;Branco;n/i;;Torneira;24.9;;24.9;Produto;B;Funcional básico;Referência Blukit de linha mais acessível.;https://www.ferreiracosta.com/;assets/product-images/blukit_torneira_maquina.png;Imagem pública de referência de torneira para máquina Blukit.
97;2026-05-20;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira Blukit 7090;Ferreira Costa;Varejo Online;Blukit;Torneira para máquina Blukit 7090;7090;n/i;n/i;n/i;;Torneira;51.9;;51.9;Produto;B;Intermediário;Referência Blukit de nível intermediário.;https://www.ferreiracosta.com/;assets/product-images/blukit_torneira_maquina.png;Imagem pública de referência de torneira para máquina Blukit.
98;2026-05-20;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira RT02 cromada;Carajás;Varejo Online;Forusi;Torneira RT02 cromada;;Metal;Cromado;n/i;;Torneira;199.9;189.9;189.9;Produto;D;Premium alto;"Linha mais cara; provável estética e material superior.";https://www.carajas.com.br/;;
99;2026-05-20;"TORN P/MAQUI 1/2"" 90";Torneira para máquina 1/2 90°;Torneira C21;Ferreira Costa;Varejo Online;Meber;Torneira C21 para máquina;;Metal;Cromado;n/i;;Torneira;211.9;;211.9;Produto;D;Premium alto;"Preço de patamar superior; tratar como referência premium.";https://www.ferreiracosta.com/;;
100;2026-05-20;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Grelha quadrada 150 mm plástica;Carajás;Varejo Online;Amanco;Grelha quadrada N30 CB 150 branca;;Plástico;Branco;150 mm;mm;Grelha;8.49;6.9;6.9;Produto;B;Entrada;"Grelha plástica 150 mm; bom piso de mercado.";https://www.carajas.com.br/;;
101;2026-05-20;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Grelha quadrada 100 mm plástica;Carajás;Varejo Online;Astra;Grelha quadrada G10 10 cm;;Plástico;Branco;100 mm;mm;Grelha;10.19;8.71;8.71;Produto;B;Entrada;Comparável a grelhas simples 100 mm.;https://www.carajas.com.br/;;
102;2026-05-20;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Grelha abre/fecha 100 mm;Carajás;Varejo Online;Tigre;Grelha abre e fecha DN100;;Plástico;Branco;100 mm;mm;Grelha abre/fecha;42.9;36.68;36.68;Produto;C;Intermediário;Mecanismo abre/fecha eleva preço.;https://www.carajas.com.br/;;
103;2026-05-20;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Grelha abre/fecha 100 mm;Telhanorte;Varejo Online;Tigre;Grelha 100 mm abre e fecha;;Plástico;Branco;100 mm;mm;Grelha abre/fecha;28.9;;28.9;Produto;C;Intermediário;"Mesmo subgrupo de abertura controlada; canal adicional.";https://www.telhanorte.com.br/;;
104;2026-05-20;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Grelha inox 100 mm;Telhanorte;Varejo Online;Tigre;Grelha quadrada prata inox 100 mm;;Inox;Prata;100 mm;mm;Grelha metálica;73.9;59.12;59.12;Produto;D;Premium;"Material inox; não comparar com grelha plástica.";https://www.telhanorte.com.br/;;
105;2026-05-20;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Grelha branca 100 mm;Telhanorte;Varejo Online;Não informado;Grelha quadrada branca 100 mm;;Plástico;Branco;100 mm;mm;Grelha;11.9;9.52;9.52;Produto;B;Entrada;Complementa piso de preço de grelha simples.;https://www.telhanorte.com.br/;;
106;2026-05-20;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Porta-grelha 100 mm;Telhanorte;Varejo Online;Tigre;Porta grelha quadrada 100 mm;;Plástico;Branco;100 mm;mm;Porta-grelha;27.9;;27.9;Produto;D;Intermediário;"Acessório diferente de grelha avulsa; manter separado.";https://www.telhanorte.com.br/;;
107;2026-05-20;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Grelha cromada 100 mm;Carajás;Varejo Online;Tigre;Grelha quadrada 100 mm cromada;;Metalizado;Cromado;100 mm;mm;Grelha premium;53.9;46.08;46.08;Produto;D;Premium;Acabamento cromado diferencia o item.;https://www.carajas.com.br/;;
108;2026-05-20;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Grelha cromada 150 mm;Carajás;Varejo Online;Tigre;Grelha quadrada 150 mm cromada;;Metalizado;Cromado;150 mm;mm;Grelha premium;109.9;93.96;93.96;Produto;D;Premium alto;Maior dimensão e acabamento superior.;https://www.carajas.com.br/;;
109;2026-05-20;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Grelha inox 10 cm;Telhanorte;Varejo Online;Esteves;Grelha inox sem caixilho 10 cm;;Inox;Inox;100 mm;mm;Grelha metálica;38.9;29.66;29.66;Produto;D;Premium;"Material metálico; representa faixa superior.";https://www.telhanorte.com.br/;;
110;2026-05-20;GRELHA QUAD.P/CX SIF;Grelha quadrada para caixa sifonada;Grelha preto fosco 100 mm;Telhanorte;Varejo Online;Novii;Grelha preto fosco 100 mm;;Metal/Decorativo;Preto fosco;100 mm;mm;Grelha decorativa;299.9;279.9;279.9;Produto;D;Premium alto;"Outlier decorativo; relevante para evidenciar dispersão.";https://www.telhanorte.com.br/;;
111;2026-05-20;"NIPLE 1/2"" CROMADO";"Niple 1/2"" cromado";Niple paralelo 1/2 30 mm;Telhanorte;Varejo Online;Blukit;Niple paralelo 1/2 30 mm cromado;;Metal;Cromado;30 mm;mm;Niple;41.9;;41.9;Produto;C;Intermediário;"Comprimento altera preço; referência Blukit.";https://www.telhanorte.com.br/;assets/product-images/blukit_niple_paralelo.png;Imagem pública de referência de niple Blukit.
112;2026-05-20;"NIPLE 1/2"" CROMADO";"Niple 1/2"" cromado";Niple paralelo 1/2 50 mm;Telhanorte;Varejo Online;Blukit;Niple paralelo 1/2 50 mm cromado;17050;Metal;Cromado;50 mm;mm;Niple;65.9;;65.9;Produto;C;Premium;"Maior comprimento; não comparar com niple duplo curto.";https://www.telhanorte.com.br/;assets/product-images/blukit_niple_paralelo.png;Imagem pública de referência de niple Blukit.
113;2026-05-20;"NIPLE 1/2"" CROMADO";"Niple 1/2"" cromado";Niple multifiltro 1/2 x 3/8;Telhanorte;Varejo Online;Blukit;Niple redução multifiltro 1/2 x 3/8 cromado;310502;Metal;Cromado;1/2 x 3/8;;Redução;45.9;;45.9;Produto;D;Intermediário;Geometria e aplicação diferentes do niple 1/2 simples.;https://www.telhanorte.com.br/;assets/product-images/blukit_niple_paralelo.png;Imagem pública de referência de niple Blukit.
114;2026-05-20;"NIPLE 1/2"" CROMADO";"Niple 1/2"" cromado";Niple duplo 1/2;Telhanorte;Varejo Online;Blukit;Niple duplo cromado 1/2;;Metal;Cromado;"1/2""";;Niple duplo;23.9;;23.9;Produto;B;Intermediário;Referência Blukit mais próxima do item original.;https://www.telhanorte.com.br/;assets/product-images/blukit_niple_paralelo.png;Imagem pública de referência de niple Blukit.
115;2026-05-20;"NIPLE 1/2"" CROMADO";"Niple 1/2"" cromado";Niple redução 3/4 x 1/2;Telhanorte;Varejo Online;Blukit;Niple de redução 3/4 x 1/2 cromado;7056;Liga de cobre;Cromado;3/4 x 1/2;;Redução;54.9;43.92;43.92;Produto;D;Premium;"Aplicação distinta; manter como referência ampliada da marca.";https://www.telhanorte.com.br/;assets/product-images/blukit_niple_paralelo.png;Imagem pública de referência de niple Blukit.
116;2026-05-20;"NIPLE 1/2"" CROMADO";"Niple 1/2"" cromado";Niple PVC 1/2;Carajás;Varejo Online;Amanco;Niple PVC 1/2;;PVC;Branco;"1/2""";;Niple PVC;1.69;0.85;0.85;Produto;D;Entrada;"Material e acabamento não cromados; útil apenas como piso de conexão.";https://www.carajas.com.br/;;
117;2026-05-19;SIFÃO;Sifão;Sifão simples / extensivo;Magalu;Marketplace;Blukit;Sifão Sanfonado Arruela PVC 4 em 1 Blukit 0101;;PVC;n/i;n/i;;Sifão simples / extensivo;15.43;15.43;15.43;Lista de busca;C;Intermediário técnico;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bblukit/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
118;2026-05-19;SIFÃO;Sifão;Sifão duplo;Magalu;Marketplace;Blukit;Sifão Sanfonado Duplo Universal Cromado Blukit;;Plástico / elastômeros;Cromado;n/i;;Sifão duplo;91.01;91.01;91.01;Lista de busca;B;Acabamento superior;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bblukit/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
119;2026-05-19;SIFÃO;Sifão;Sifão duplo;Magalu;Marketplace;Blukit;Sifão Tubo Extensivo Duplo Cromado para Pia e Tanque 70cm - Blukit;;Plástico / elastômeros;Cromado;70;cm;Sifão duplo;145.82;145.82;145.82;Lista de busca;C;Acabamento superior;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bblukit/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
120;2026-05-19;SIFÃO;Sifão;Sifão duplo;Magalu;Marketplace;Blukit;Sifão tubo extensivo duplo universal branco 70cm 030205 - Blukit;;Plástico / elastômeros;Branco;70;cm;Sifão duplo;20.07;20.07;20.07;Lista de busca;B;Intermediário técnico;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bblukit/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
121;2026-05-19;SIFÃO;Sifão;Sifão simples / extensivo;Magalu;Marketplace;Blukit;Sifão sanfonado simples branco - Blukit;;Plástico / elastômeros;Branco;n/i;;Sifão simples / extensivo;12.67;12.67;12.67;Lista de busca;B;Intermediário técnico;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bblukit/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
122;2026-05-19;SIFÃO;Sifão;Sifão simples / extensivo;Magalu;Marketplace;Blukit;Sifão Tubo Extensivo Universal com Porca em Polipropileno Branco - Blukit;;PP / Polipropileno;Branco;n/i;;Sifão simples / extensivo;9.5;9.5;9.5;Lista de busca;B;Intermediário técnico;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bblukit/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
123;2026-05-19;SIFÃO;Sifão;Sifão simples / extensivo;Magalu;Marketplace;Blukit;Sifão tubo extensivo universal branco porca PP 1,5m 030129 Blukit;;PP / Polipropileno;Branco;1,5;m;Sifão simples / extensivo;32.05;32.05;32.05;Lista de busca;B;Intermediário técnico;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bblukit/;assets/product-images/blukit_sifao_longo_1500.png;Imagem pública de referência do Sifão Tubo Extensivo Longo Blukit.
124;2026-05-19;SIFÃO;Sifão;Sifão simples / extensivo;Magalu;Marketplace;Blukit;Sifão Flexível Branco Tubo Extensivo Universal Blukit;;Plástico / elastômeros;Branco;n/i;;Sifão simples / extensivo;12.0;12.0;12.0;Lista de busca;B;Intermediário técnico;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bblukit/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
125;2026-05-19;SIFÃO;Sifão;Sifão simples / extensivo;Magalu;Marketplace;Blukit;Emenda para sifão tubo extensivo 1.1/2 030407 Blukit;;Plástico / elastômeros;n/i;1/2;;Sifão simples / extensivo;16.97;16.97;16.97;Lista de busca;C;Intermediário técnico;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bblukit/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
126;2026-05-19;SIFÃO;Sifão;Sifão acabamento superior;Magalu;Marketplace;Blukit;Sifão PVC Flexível Blukit com Arruela PVC 1,1m Preto 030141;;PVC;Preto;1,1;m;Sifão acabamento superior;33.54;33.54;33.54;Lista de busca;C;Intermediário técnico;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bblukit/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
127;2026-05-19;SIFÃO;Sifão;Sifão simples / extensivo;Magalu;Marketplace;Blukit;Sifão Sanfonado Universal Blukit;;Plástico / elastômeros;n/i;n/i;;Sifão simples / extensivo;10.74;10.74;10.74;Lista de busca;B;Intermediário técnico;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bblukit/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
128;2026-05-19;SIFÃO;Sifão;Sifão simples / extensivo;Magalu;Marketplace;Blukit;Sifão Tubo Extensivo Longo Universal Blukit com Porca Branco 1,5m;;Plástico / elastômeros;Branco;1,5;m;Sifão simples / extensivo;24.78;24.78;24.78;Lista de busca;B;Intermediário técnico;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bblukit/;assets/product-images/blukit_sifao_longo_1500.png;Imagem pública de referência do Sifão Tubo Extensivo Longo Blukit.
129;2026-05-19;SIFÃO;Sifão;Sifão duplo;Magalu;Marketplace;Blukit;Sifão Duplo Sanfonado Extensível Blukit 70cm Branco Universal;;Plástico / elastômeros;Branco;70;cm;Sifão duplo;27.9;27.9;27.9;Lista de busca;B;Intermediário técnico;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bduplo%2Bblukit/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
130;2026-05-19;SIFÃO;Sifão;Sifão duplo;Magalu;Marketplace;Blukit;Sifão Extensivo Duplo Universal Blukit com Porca Branco 0,7m;;Plástico / elastômeros;Branco;0,7;m;Sifão duplo;52.72;52.72;52.72;Lista de busca;B;Intermediário técnico;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bduplo%2Bblukit/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
131;2026-05-19;SIFÃO;Sifão;Sifão duplo;Magalu;Marketplace;Blukit;Sifão sanfonado duplo branco 38 a 50mm Blukit;;Plástico / elastômeros;Branco;50;m;Sifão duplo;15.99;15.99;15.99;Lista de busca;C;Intermediário técnico;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bduplo%2Bblukit/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
132;2026-05-19;SIFÃO;Sifão;Sifão duplo;Magalu;Marketplace;Krona;Sifão duplo universal branco - Krona;;Plástico / elastômeros;Branco;n/i;;Sifão duplo;20.81;20.81;20.81;Lista de busca;B;Intermediário técnico;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bduplo%2Bblukit/;;
133;2026-05-19;SIFÃO;Sifão;Sifão duplo;Magalu;Marketplace;Blukit;Sifão Duplo Sanfonado Extensível Blukit 72cm Cromado Universal;;Plástico / elastômeros;Cromado;72;cm;Sifão duplo;94.91;94.91;94.91;Lista de busca;B;Acabamento superior;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bduplo%2Bblukit/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
134;2026-05-19;SIFÃO;Sifão;Sifão duplo;Magalu;Marketplace;Blukit;Sifão Tubo Extensivo Duplo Universal Blukit com Porca Branco 1,1m;;Plástico / elastômeros;Branco;1,1;m;Sifão duplo;71.21;71.21;71.21;Lista de busca;B;Intermediário técnico;Nova observação de mercado adicionada para ampliar o benchmark comercial.;https://www.magazineluiza.com.br/busca/sifao%2Bduplo%2Bblukit/;assets/product-images/blukit_tubo_extensivo_110.png;Imagem pública de referência de sifão/tubo extensivo Blukit.
